id,department_code,department_name,district_code,district_name,grievance_category,days_to_resolve,officer_response_count,escalation_level,lapse_type,lapse_type_id,confidence
221,SOC_WELF,Social Welfare,ARL,Alluri Sitharama Raju,welfare_scheme,24,3,RDO,GRA did not speak to citizen directly,1,0.89
222,BC_WELF,Backward Classes Welfare,BAP,Bapatla,scholarship,52,16,Collector,No proper enquiry conducted,5,0.85
223,REVENUE,Revenue (CCLA),PVT,Parvathipuram Manyam,revenue_certificate,33,4,Tahsildar,No proper enquiry conducted,5,0.88
224,MUNI,Municipal Administration And Urban Development,NTR,NTR District,street_lights,11,1,Mandal,Poor quality of work,12,0.9
225,MUNI,Municipal Administration And Urban Development,ANA,Anakapalli,building_permission,41,7,RDO,Not visited site / No field verification,2,0.92
226,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",ELR,Eluru,labour_welfare,10,1,GRA,Action not taken as per rules,7,0.91
227,REVENUE,Revenue (CCLA),KNR,Konaseema,encroachment,40,7,CM,Not visited site / No field verification,2,0.86
228,AGRI,Agriculture And Co-operation,VSP,Visakhapatnam,crop_insurance,13,1,Mandal,Incorrect routing,10,0.89
229,SOC_WELF,Social Welfare,CHT,Chittoor,scholarship_issue,5,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
230,REVENUE,Revenue (CCLA),CHT,Chittoor,encroachment,6,1,GRA,GRA did not speak to citizen directly,1,0.9
231,MUNI,Municipal Administration And Urban Development,BAP,Bapatla,garbage_collection,20,1,Collector,Wrong/Blank/Not related comments,3,0.88
232,SOC_WELF,Social Welfare,EG,East Godavari,disability_certificate,53,20,Collector,Not visited site / No field verification,2,0.92
233,SOC_WELF,Social Welfare,ANA,Anakapalli,disability_certificate,74,20,CM,Not visited site / No field verification,2,0.94
234,SOC_WELF,Social Welfare,PKM,Prakasam,pension_delay,9,1,Mandal,GRA did not speak to citizen directly,1,0.92
235,PNCHRAJ,Panchayat Raj And Rural Development,CHT,Chittoor,community_hall,10,1,GRA,Closed without required documents,4,0.86
236,MUNI,Municipal Administration And Urban Development,ELR,Eluru,drainage_issue,7,1,Tahsildar,GRA did not speak to citizen directly,1,0.87
237,REVENUE,Revenue (CCLA),NLR,Nellore,tax_assessment,40,5,RDO,Not visited site / No field verification,2,0.89
238,HOME,Home (Police),ANA,Anakapalli,law_order,12,1,GRA,Closed without required documents,4,0.91
239,RNB,"Transport, Roads And Buildings",ANT,Anantapur,contractor_issue,10,1,GRA,GRA did not speak to citizen directly,1,0.94
240,REVENUE,Revenue (CCLA),NTR,NTR District,land_mutation,4,1,GRA,Poor quality of work,12,0.94
241,REVENUE,Revenue (CCLA),ELR,Eluru,encroachment,18,2,RDO,GRA did not speak to citizen directly,1,0.9
242,HEALTH,"Health, Medical And Family Welfare",WG,West Godavari,ambulance_service,13,1,GRA,Wrong/Blank/Not related comments,3,0.92
243,AGRI,Agriculture And Co-operation,PVT,Parvathipuram Manyam,subsidy_delay,8,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
244,REVENUE,Revenue (CCLA),KNR,Konaseema,land_records,36,6,RDO,No proper enquiry conducted,5,0.95
245,SOC_WELF,Social Welfare,EG,East Godavari,pension_not_received,13,1,GRA,GRA did not speak to citizen directly,1,0.91
246,MUNI,Municipal Administration And Urban Development,KRS,Krishna,building_permission,13,1,Mandal,GRA did not speak to citizen directly,1,0.88
247,SOC_WELF,Social Welfare,ANM,Annamaya,disability_certificate,1,1,GRA,Wrong/Blank/Not related comments,3,0.87
248,REVENUE,Revenue (CCLA),WG,West Godavari,land_records,5,1,GRA,Closed without required documents,4,0.93
249,ENERGY,Energy,CHT,Chittoor,meter_issue,1,1,GRA,Wrong/Blank/Not related comments,3,0.89
250,PNCHRAJ,Panchayat Raj And Rural Development,ANT,Anantapur,village_development,20,1,Mandal,GRA did not speak to citizen directly,1,0.91
251,REVENUE,Revenue (CCLA),NLR,Nellore,encroachment,31,3,Collector,Not visited site / No field verification,2,0.89
252,REVENUE,Revenue (CCLA),WG,West Godavari,encroachment,2,1,GRA,GRA did not speak to citizen directly,1,0.92
253,SOC_WELF,Social Welfare,GNT,Guntur,pension_delay,62,15,Collector,Not visited site / No field verification,2,0.95
254,SOC_WELF,Social Welfare,KNL,Kurnool,scholarship_issue,19,2,Tahsildar,GRA did not speak to citizen directly,1,0.89
255,HEALTH,"Health, Medical And Family Welfare",ARL,Alluri Sitharama Raju,medical_reimbursement,32,4,Collector,Not visited site / No field verification,2,0.86
256,WATER,Water Resources,KDP,Kadapa,water_shortage,8,1,GRA,Poor quality of work,12,0.93
257,PNCHRAJ,Panchayat Raj And Rural Development,KNL,Kurnool,drinking_water,2,1,GRA,Wrong/Blank/Not related comments,3,0.87
258,REVENUE,Revenue (CCLA),KRS,Krishna,property_dispute,43,8,Collector,Inordinate delay,9,0.91
259,HOME,Home (Police),GNT,Guntur,fir_delay,13,1,Tahsildar,GRA did not speak to citizen directly,1,0.92
260,HEALTH,"Health, Medical And Family Welfare",EG,East Godavari,hospital_service,46,14,HOD,Not visited site / No field verification,2,0.86
261,MUNI,Municipal Administration And Urban Development,KNL,Kurnool,drainage_issue,42,7,Collector,No proper enquiry conducted,5,0.93
262,ENERGY,Energy,EG,East Godavari,billing_dispute,69,17,HOD,Inordinate delay,9,0.88
263,REVENUE,Revenue (CCLA),ELR,Eluru,tax_assessment,6,1,GRA,Inadequate action taken,8,0.94
264,AGRI,Agriculture And Co-operation,TPT,Tirupati,crop_insurance,35,7,RDO,Not visited site / No field verification,2,0.87
265,MUNI,Municipal Administration And Urban Development,EG,East Godavari,drainage_issue,8,1,GRA,GRA did not speak to citizen directly,1,0.91
266,HOUSING,Housing,BAP,Bapatla,building_quality,12,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
267,SOC_WELF,Social Welfare,PKM,Prakasam,pension_not_received,48,9,Collector,Not visited site / No field verification,2,0.91
268,HEALTH,"Health, Medical And Family Welfare",CHT,Chittoor,ambulance_service,3,1,GRA,Closed without required documents,4,0.88
269,RNB,"Transport, Roads And Buildings",CHT,Chittoor,bridge_repair,35,16,Collector,No action letter issued,11,0.94
270,AGRI,Agriculture And Co-operation,PVT,Parvathipuram Manyam,subsidy_delay,46,11,RDO,Not visited site / No field verification,2,0.89
271,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,garbage_collection,2,1,GRA,GRA did not speak to citizen directly,1,0.93
272,PNCHRAJ,Panchayat Raj And Rural Development,STY,Sri Satya Sai,sanitation,6,1,Mandal,Inadequate action taken,8,0.94
273,PNCHRAJ,Panchayat Raj And Rural Development,GNT,Guntur,sanitation,17,1,Tahsildar,Not visited site / No field verification,2,0.87
274,REVENUE,Revenue (CCLA),SKM,Srikakulam,encroachment,15,2,Tahsildar,No proper enquiry conducted,5,0.93
275,SOC_WELF,Social Welfare,NAG,Sri Potti Sriramulu Nellore,scholarship_issue,11,1,RDO,GRA did not speak to citizen directly,1,0.87
276,HEALTH,"Health, Medical And Family Welfare",KNR,Konaseema,hospital_service,13,1,Tahsildar,Wrong/Blank/Not related comments,3,0.85
277,REVENUE,Revenue (CCLA),WG,West Godavari,tax_assessment,11,1,Mandal,GRA did not speak to citizen directly,1,0.86
278,AGRI,Agriculture And Co-operation,KKN,Kakinada,irrigation_problem,21,3,Tahsildar,Closed without required documents,4,0.85
279,MUNI,Municipal Administration And Urban Development,KRS,Krishna,road_repair,26,5,Collector,No action letter issued,11,0.89
280,HOME,Home (Police),NTR,NTR District,police_complaint,30,6,Collector,Inordinate delay,9,0.9
281,ENERGY,Energy,KRS,Krishna,new_connection,20,1,Tahsildar,GRA did not speak to citizen directly,1,0.95
282,REVENUE,Revenue (CCLA),PLN,Palnadu,land_mutation,20,1,Collector,Wrong/Blank/Not related comments,3,0.91
283,REVENUE,Revenue (CCLA),GNT,Guntur,tax_assessment,3,1,Mandal,GRA did not speak to citizen directly,1,0.95
284,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",ANM,Annamaya,wage_dispute,21,2,RDO,GRA did not speak to citizen directly,1,0.9
285,REVENUE,Revenue (CCLA),ANT,Anantapur,tax_assessment,65,13,HOD,Inordinate delay,9,0.95
286,MUNI,Municipal Administration And Urban Development,STY,Sri Satya Sai,building_permission,60,14,HOD,No proper enquiry conducted,5,0.87
287,WATER,Water Resources,SKM,Srikakulam,flood_control,45,8,Collector,Not visited site / No field verification,2,0.92
288,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,water_supply,12,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
289,HOUSING,Housing,SKM,Srikakulam,construction_delay,8,1,Mandal,GRA did not speak to citizen directly,1,0.87
290,MUNI,Municipal Administration And Urban Development,SKM,Srikakulam,street_lights,5,1,Tahsildar,GRA did not speak to citizen directly,1,0.91
291,ENERGY,Energy,PVT,Parvathipuram Manyam,power_outage,19,4,Collector,GRA did not speak to citizen directly,1,0.87
292,SOC_WELF,Social Welfare,PKM,Prakasam,pension_not_received,20,1,Mandal,GRA did not speak to citizen directly,1,0.86
293,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,encroachment,41,6,Tahsildar,Not visited site / No field verification,2,0.91
294,ENERGY,Energy,SKM,Srikakulam,power_outage,9,1,Tahsildar,GRA did not speak to citizen directly,1,0.94
295,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",ELR,Eluru,contractor_payment,8,1,GRA,GRA did not speak to citizen directly,1,0.88
296,REVENUE,Revenue (CCLA),NTR,NTR District,land_records,7,1,GRA,GRA did not speak to citizen directly,1,0.92
297,SOC_WELF,Social Welfare,KKN,Kakinada,pension_delay,12,1,Tahsildar,GRA did not speak to citizen directly,1,0.89
298,WATER,Water Resources,ARL,Alluri Sitharama Raju,bore_well,17,1,RDO,Wrong/Blank/Not related comments,3,0.86
299,REVENUE,Revenue (CCLA),PVT,Parvathipuram Manyam,property_dispute,53,17,HOD,Not visited site / No field verification,2,0.92
300,SOC_WELF,Social Welfare,ELR,Eluru,pension_delay,9,1,Tahsildar,GRA did not speak to citizen directly,1,0.87
301,WOMEN,"Women, Children, Disabled And Senior Citizens",NTR,NTR District,daycare_center,9,1,GRA,GRA did not speak to citizen directly,1,0.89
302,REVENUE,Revenue (CCLA),PVT,Parvathipuram Manyam,land_mutation,50,8,Collector,No proper enquiry conducted,5,0.88
303,REVENUE,Revenue (CCLA),WG,West Godavari,tax_assessment,5,1,Mandal,GRA did not speak to citizen directly,1,0.89
304,MUNI,Municipal Administration And Urban Development,PVT,Parvathipuram Manyam,street_lights,49,8,Collector,Not visited site / No field verification,2,0.91
305,RNB,"Transport, Roads And Buildings",KDP,Kadapa,bridge_repair,4,1,GRA,Wrong/Blank/Not related comments,3,0.91
306,AGRI,Agriculture And Co-operation,KNR,Konaseema,irrigation_problem,5,1,GRA,No action letter issued,11,0.85
307,REVENUE,Revenue (CCLA),ANM,Annamaya,tax_assessment,22,2,Tahsildar,Not visited site / No field verification,2,0.9
308,AGRI,Agriculture And Co-operation,PVT,Parvathipuram Manyam,crop_insurance,21,2,Tahsildar,GRA did not speak to citizen directly,1,0.89
309,HOUSING,Housing,KDP,Kadapa,housing_scheme,25,5,RDO,Not visited site / No field verification,2,0.9
310,SOC_WELF,Social Welfare,ARL,Alluri Sitharama Raju,scholarship_issue,7,1,Tahsildar,GRA did not speak to citizen directly,1,0.92
311,REVENUE,Revenue (CCLA),NAG,Sri Potti Sriramulu Nellore,property_dispute,28,4,Tahsildar,Not visited site / No field verification,2,0.87
312,SOC_WELF,Social Welfare,NTR,NTR District,pension_delay,10,1,GRA,Wrong/Blank/Not related comments,3,0.89
313,SOC_WELF,Social Welfare,GNT,Guntur,pension_delay,12,1,Mandal,GRA did not speak to citizen directly,1,0.89
314,REVENUE,Revenue (CCLA),KDP,Kadapa,revenue_certificate,1,1,GRA,Wrong/Blank/Not related comments,3,0.91
315,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,garbage_collection,17,1,Collector,No proper enquiry conducted,5,0.93
316,RNB,"Transport, Roads And Buildings",ELR,Eluru,road_pothole,9,1,GRA,Wrong/Blank/Not related comments,3,0.87
317,AGRI,Agriculture And Co-operation,ANM,Annamaya,irrigation_problem,17,2,Mandal,Wrong/Blank/Not related comments,3,0.9
318,MUNI,Municipal Administration And Urban Development,KNR,Konaseema,drainage_issue,34,6,RDO,Not visited site / No field verification,2,0.93
319,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,water_supply,51,15,Collector,Not visited site / No field verification,2,0.9
320,SOC_WELF,Social Welfare,PLN,Palnadu,scholarship_issue,16,1,Tahsildar,GRA did not speak to citizen directly,1,0.88
321,REVENUE,Revenue (CCLA),BAP,Bapatla,revenue_certificate,1,1,Mandal,GRA did not speak to citizen directly,1,0.9
322,MUNI,Municipal Administration And Urban Development,KRS,Krishna,road_repair,20,2,Mandal,No proper enquiry conducted,5,0.93
323,SOC_WELF,Social Welfare,CHT,Chittoor,scholarship_issue,18,1,RDO,GRA did not speak to citizen directly,1,0.88
324,WATER,Water Resources,ANT,Anantapur,tank_maintenance,72,20,Collector,Inordinate delay,9,0.93
325,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,building_permission,20,2,Mandal,Not visited site / No field verification,2,0.93
326,ENERGY,Energy,ELR,Eluru,billing_dispute,8,1,RDO,Wrong/Blank/Not related comments,3,0.88
327,MUNI,Municipal Administration And Urban Development,ANM,Annamaya,building_permission,66,20,HOD,No proper enquiry conducted,5,0.94
328,WOMEN,"Women, Children, Disabled And Senior Citizens",KNR,Konaseema,child_welfare,15,2,Tahsildar,Wrong/Blank/Not related comments,3,0.93
329,PNCHRAJ,Panchayat Raj And Rural Development,PLN,Palnadu,drinking_water,31,6,Collector,Not visited site / No field verification,2,0.89
330,REVENUE,Revenue (CCLA),TPT,Tirupati,land_mutation,11,1,Mandal,GRA did not speak to citizen directly,1,0.95
331,REVENUE,Revenue (CCLA),GNT,Guntur,tax_assessment,23,2,Mandal,GRA did not speak to citizen directly,1,0.93
332,SOC_WELF,Social Welfare,VZG,Vizianagaram,pension_delay,9,1,GRA,GRA did not speak to citizen directly,1,0.91
333,SOC_WELF,Social Welfare,NLR,Nellore,pension_not_received,1,1,Tahsildar,GRA did not speak to citizen directly,1,0.9
334,WOMEN,"Women, Children, Disabled And Senior Citizens",VZG,Vizianagaram,child_welfare,25,1,Tahsildar,Beneficiary not contacted,13,0.87
335,HOME,Home (Police),KRS,Krishna,police_complaint,11,1,Tahsildar,Closed without required documents,4,0.87
336,SOC_WELF,Social Welfare,KNL,Kurnool,pension_delay,15,2,Tahsildar,GRA did not speak to citizen directly,1,0.91
337,MUNI,Municipal Administration And Urban Development,ARL,Alluri Sitharama Raju,water_supply,9,1,Mandal,GRA did not speak to citizen directly,1,0.92
338,SOC_WELF,Social Welfare,EG,East Godavari,scholarship_issue,13,1,GRA,GRA did not speak to citizen directly,1,0.86
339,PNCHRAJ,Panchayat Raj And Rural Development,STY,Sri Satya Sai,community_hall,41,8,Collector,Not visited site / No field verification,2,0.85
340,AGRI,Agriculture And Co-operation,ARL,Alluri Sitharama Raju,fertilizer_issue,37,7,Collector,No proper enquiry conducted,5,0.91
341,SOC_WELF,Social Welfare,CHT,Chittoor,pension_not_received,14,2,Mandal,Inadequate action taken,8,0.95
342,REVENUE,Revenue (CCLA),WG,West Godavari,property_dispute,20,3,RDO,GRA did not speak to citizen directly,1,0.88
343,HOME,Home (Police),GNT,Guntur,traffic_issue,7,1,Mandal,GRA did not speak to citizen directly,1,0.88
344,REVENUE,Revenue (CCLA),TPT,Tirupati,property_dispute,62,19,HOD,Not visited site / No field verification,2,0.94
345,REVENUE,Revenue (CCLA),PKM,Prakasam,revenue_certificate,18,2,Collector,GRA did not speak to citizen directly,1,0.87
346,SOC_WELF,Social Welfare,STY,Sri Satya Sai,pension_not_received,17,3,RDO,GRA did not speak to citizen directly,1,0.9
347,AGRI,Agriculture And Co-operation,ANM,Annamaya,irrigation_problem,2,1,GRA,Wrong/Blank/Not related comments,3,0.91
348,REVENUE,Revenue (CCLA),KNL,Kurnool,land_mutation,55,18,Collector,Not visited site / No field verification,2,0.91
349,PNCHRAJ,Panchayat Raj And Rural Development,KNR,Konaseema,village_roads,1,1,GRA,GRA did not speak to citizen directly,1,0.86
350,REVENUE,Revenue (CCLA),VZG,Vizianagaram,land_mutation,31,6,HOD,Not visited site / No field verification,2,0.87
351,REVENUE,Revenue (CCLA),WG,West Godavari,tax_assessment,4,1,Tahsildar,GRA did not speak to citizen directly,1,0.88
352,SOC_WELF,Social Welfare,NAG,Sri Potti Sriramulu Nellore,disability_certificate,24,4,Tahsildar,Wrong/Blank/Not related comments,3,0.88
353,REVENUE,Revenue (CCLA),PVT,Parvathipuram Manyam,encroachment,2,1,Tahsildar,Wrong/Blank/Not related comments,3,0.89
354,REVENUE,Revenue (CCLA),KDP,Kadapa,encroachment,21,3,Tahsildar,Wrong/Blank/Not related comments,3,0.85
355,SOC_WELF,Social Welfare,WG,West Godavari,pension_delay,18,2,Collector,Incorrect routing,10,0.92
356,REVENUE,Revenue (CCLA),EG,East Godavari,land_records,5,1,GRA,Inadequate action taken,8,0.9
357,RNB,"Transport, Roads And Buildings",NTR,NTR District,bridge_repair,94,17,RDO,No proper enquiry conducted,5,0.94
358,WATER,Water Resources,STY,Sri Satya Sai,bore_well,42,8,RDO,Not visited site / No field verification,2,0.88
359,ENERGY,Energy,NAG,Sri Potti Sriramulu Nellore,transformer_problem,1,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
360,PNCHRAJ,Panchayat Raj And Rural Development,BAP,Bapatla,community_hall,13,1,Mandal,GRA did not speak to citizen directly,1,0.88
361,WATER,Water Resources,GNT,Guntur,bore_well,3,1,Tahsildar,GRA did not speak to citizen directly,1,0.88
362,REVENUE,Revenue (CCLA),EG,East Godavari,land_records,108,20,Collector,Not visited site / No field verification,2,0.85
363,REVENUE,Revenue (CCLA),ANM,Annamaya,land_records,1,1,Mandal,Wrong/Blank/Not related comments,3,0.91
364,SOC_WELF,Social Welfare,ELR,Eluru,welfare_scheme,9,1,RDO,GRA did not speak to citizen directly,1,0.92
365,PNCHRAJ,Panchayat Raj And Rural Development,NLR,Nellore,drinking_water,16,3,Collector,GRA did not speak to citizen directly,1,0.93
366,REVENUE,Revenue (CCLA),KDP,Kadapa,property_dispute,41,11,HOD,Not visited site / No field verification,2,0.87
367,REVENUE,Revenue (CCLA),KRS,Krishna,land_mutation,14,1,Tahsildar,GRA did not speak to citizen directly,1,0.85
368,WATER,Water Resources,NLR,Nellore,water_shortage,12,1,Mandal,GRA did not speak to citizen directly,1,0.85
369,REVENUE,Revenue (CCLA),NTR,NTR District,land_mutation,18,1,Mandal,Incorrect routing,10,0.9
370,ENERGY,Energy,WG,West Godavari,power_outage,23,1,Mandal,GRA did not speak to citizen directly,1,0.87
371,SOC_WELF,Social Welfare,PLN,Palnadu,pension_not_received,11,1,Mandal,Wrong/Blank/Not related comments,3,0.94
372,SOC_WELF,Social Welfare,WG,West Godavari,pension_not_received,53,10,HOD,Inordinate delay,9,0.87
373,MUNI,Municipal Administration And Urban Development,NAG,Sri Potti Sriramulu Nellore,street_lights,29,6,Tahsildar,Not visited site / No field verification,2,0.87
374,REVENUE,Revenue (CCLA),KRS,Krishna,land_records,22,5,Collector,Action not taken as per rules,7,0.89
375,MUNI,Municipal Administration And Urban Development,VSP,Visakhapatnam,water_supply,15,3,RDO,GRA did not speak to citizen directly,1,0.87
376,WOMEN,"Women, Children, Disabled And Senior Citizens",BAP,Bapatla,anganwadi_service,13,1,Mandal,Poor quality of work,12,0.93
377,REVENUE,Revenue (CCLA),ELR,Eluru,encroachment,11,1,GRA,GRA did not speak to citizen directly,1,0.94
378,PNCHRAJ,Panchayat Raj And Rural Development,VSP,Visakhapatnam,drinking_water,53,1,RDO,Not visited site / No field verification,2,0.86
379,AGRI,Agriculture And Co-operation,KRS,Krishna,crop_insurance,14,1,GRA,Premature closure,6,0.91
380,BC_WELF,Backward Classes Welfare,SKM,Srikakulam,scholarship,16,1,Tahsildar,Incorrect routing,10,0.91
381,ENERGY,Energy,PVT,Parvathipuram Manyam,billing_dispute,75,20,HOD,Inordinate delay,9,0.91
382,MUNI,Municipal Administration And Urban Development,CHT,Chittoor,street_lights,47,7,Tahsildar,Not visited site / No field verification,2,0.87
383,REVENUE,Revenue (CCLA),ANM,Annamaya,land_records,16,3,HOD,GRA did not speak to citizen directly,1,0.94
384,WATER,Water Resources,NLR,Nellore,irrigation_canal,1,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
385,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,water_supply,19,1,Mandal,GRA did not speak to citizen directly,1,0.88
386,REVENUE,Revenue (CCLA),NTR,NTR District,tax_assessment,17,1,Mandal,Incorrect routing,10,0.92
387,MUNI,Municipal Administration And Urban Development,KKN,Kakinada,garbage_collection,7,1,GRA,GRA did not speak to citizen directly,1,0.92
388,REVENUE,Revenue (CCLA),NTR,NTR District,tax_assessment,8,1,RDO,GRA did not speak to citizen directly,1,0.95
389,REVENUE,Revenue (CCLA),KKN,Kakinada,revenue_certificate,58,13,Collector,Inordinate delay,9,0.86
390,PNCHRAJ,Panchayat Raj And Rural Development,EG,East Godavari,sanitation,20,3,Mandal,Poor quality of work,12,0.93
391,AGRI,Agriculture And Co-operation,NAG,Sri Potti Sriramulu Nellore,fertilizer_issue,11,1,GRA,Wrong/Blank/Not related comments,3,0.89
392,ENERGY,Energy,NAG,Sri Potti Sriramulu Nellore,power_outage,4,1,GRA,GRA did not speak to citizen directly,1,0.94
393,SOC_WELF,Social Welfare,SKM,Srikakulam,disability_certificate,63,20,CM,Not visited site / No field verification,2,0.93
394,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,land_mutation,48,9,RDO,No proper enquiry conducted,5,0.88
395,HEALTH,"Health, Medical And Family Welfare",NTR,NTR District,hospital_service,14,1,Tahsildar,Wrong/Blank/Not related comments,3,0.95
396,HEALTH,"Health, Medical And Family Welfare",PVT,Parvathipuram Manyam,hospital_service,5,1,GRA,Wrong/Blank/Not related comments,3,0.87
397,REVENUE,Revenue (CCLA),CHT,Chittoor,property_dispute,1,1,Mandal,GRA did not speak to citizen directly,1,0.88
398,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,land_records,51,10,Collector,Not visited site / No field verification,2,0.86
399,ENERGY,Energy,KNR,Konaseema,transformer_problem,16,3,Collector,Wrong/Blank/Not related comments,3,0.88
400,REVENUE,Revenue (CCLA),KDP,Kadapa,revenue_certificate,1,1,RDO,Closed without required documents,4,0.87
401,HEALTH,"Health, Medical And Family Welfare",PKM,Prakasam,medicine_shortage,11,1,GRA,Wrong/Blank/Not related comments,3,0.93
402,MUNI,Municipal Administration And Urban Development,WG,West Godavari,building_permission,18,3,RDO,Wrong/Blank/Not related comments,3,0.89
403,PNCHRAJ,Panchayat Raj And Rural Development,EG,East Godavari,village_development,4,1,GRA,GRA did not speak to citizen directly,1,0.92
404,HOME,Home (Police),ELR,Eluru,fir_delay,27,6,Collector,Wrong/Blank/Not related comments,3,0.85
405,MUNI,Municipal Administration And Urban Development,ANM,Annamaya,road_repair,9,1,RDO,Wrong/Blank/Not related comments,3,0.89
406,HOME,Home (Police),NTR,NTR District,fir_delay,17,3,Collector,Action not taken as per rules,7,0.89
407,WOMEN,"Women, Children, Disabled And Senior Citizens",KNR,Konaseema,child_welfare,11,1,GRA,Action not taken as per rules,7,0.86
408,MUNI,Municipal Administration And Urban Development,BAP,Bapatla,garbage_collection,1,1,GRA,Premature closure,6,0.93
409,AGRI,Agriculture And Co-operation,ANM,Annamaya,irrigation_problem,18,3,RDO,GRA did not speak to citizen directly,1,0.93
410,HOME,Home (Police),KDP,Kadapa,police_harassment,15,1,Tahsildar,Premature closure,6,0.94
411,REVENUE,Revenue (CCLA),KNR,Konaseema,land_records,32,7,Collector,Not visited site / No field verification,2,0.91
412,AGRI,Agriculture And Co-operation,VSP,Visakhapatnam,irrigation_problem,37,11,HOD,Inordinate delay,9,0.9
413,REVENUE,Revenue (CCLA),PKM,Prakasam,land_mutation,13,1,Tahsildar,GRA did not speak to citizen directly,1,0.92
414,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",EG,East Godavari,factory_safety,43,4,RDO,Not visited site / No field verification,2,0.88
415,SOC_WELF,Social Welfare,KNR,Konaseema,pension_not_received,15,4,Collector,GRA did not speak to citizen directly,1,0.9
416,SOC_WELF,Social Welfare,VSP,Visakhapatnam,welfare_scheme,23,5,Collector,Closed without required documents,4,0.94
417,HEALTH,"Health, Medical And Family Welfare",GNT,Guntur,medicine_shortage,19,1,Tahsildar,GRA did not speak to citizen directly,1,0.85
418,REVENUE,Revenue (CCLA),PKM,Prakasam,tax_assessment,5,1,GRA,GRA did not speak to citizen directly,1,0.92
419,REVENUE,Revenue (CCLA),ANA,Anakapalli,encroachment,66,14,Collector,Not visited site / No field verification,2,0.87
420,HEALTH,"Health, Medical And Family Welfare",NAG,Sri Potti Sriramulu Nellore,hospital_service,8,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
421,REVENUE,Revenue (CCLA),EG,East Godavari,tax_assessment,15,4,Collector,GRA did not speak to citizen directly,1,0.95
422,AGRI,Agriculture And Co-operation,ANA,Anakapalli,subsidy_delay,11,1,GRA,Wrong/Blank/Not related comments,3,0.91
423,HOME,Home (Police),PVT,Parvathipuram Manyam,traffic_issue,6,1,GRA,Wrong/Blank/Not related comments,3,0.87
424,REVENUE,Revenue (CCLA),ANM,Annamaya,encroachment,19,2,Tahsildar,GRA did not speak to citizen directly,1,0.91
425,MUNI,Municipal Administration And Urban Development,KNL,Kurnool,garbage_collection,4,1,GRA,Wrong/Blank/Not related comments,3,0.91
426,WATER,Water Resources,KRS,Krishna,bore_well,6,1,GRA,GRA did not speak to citizen directly,1,0.93
427,ENERGY,Energy,KKN,Kakinada,new_connection,6,1,Mandal,Wrong/Blank/Not related comments,3,0.9
428,REVENUE,Revenue (CCLA),VZG,Vizianagaram,land_records,24,3,Mandal,GRA did not speak to citizen directly,1,0.88
429,PNCHRAJ,Panchayat Raj And Rural Development,PLN,Palnadu,village_development,1,1,GRA,Not visited site / No field verification,2,0.9
430,WATER,Water Resources,PLN,Palnadu,flood_control,15,2,Tahsildar,GRA did not speak to citizen directly,1,0.92
431,MUNI,Municipal Administration And Urban Development,NTR,NTR District,building_permission,8,1,GRA,Inadequate action taken,8,0.92
432,REVENUE,Revenue (CCLA),TPT,Tirupati,revenue_certificate,4,1,Mandal,GRA did not speak to citizen directly,1,0.9
433,REVENUE,Revenue (CCLA),KDP,Kadapa,tax_assessment,11,1,GRA,GRA did not speak to citizen directly,1,0.95
434,REVENUE,Revenue (CCLA),ELR,Eluru,land_records,15,2,RDO,GRA did not speak to citizen directly,1,0.88
435,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,revenue_certificate,13,1,Collector,GRA did not speak to citizen directly,1,0.86
436,SOC_WELF,Social Welfare,VZG,Vizianagaram,scholarship_issue,11,1,RDO,GRA did not speak to citizen directly,1,0.89
437,REVENUE,Revenue (CCLA),NLR,Nellore,encroachment,7,1,Collector,GRA did not speak to citizen directly,1,0.88
438,REVENUE,Revenue (CCLA),ANM,Annamaya,encroachment,14,2,Mandal,GRA did not speak to citizen directly,1,0.92
439,MUNI,Municipal Administration And Urban Development,NLR,Nellore,street_lights,19,2,RDO,Inadequate action taken,8,0.89
440,REVENUE,Revenue (CCLA),TPT,Tirupati,land_records,15,3,Tahsildar,GRA did not speak to citizen directly,1,0.86
441,PNCHRAJ,Panchayat Raj And Rural Development,TPT,Tirupati,village_roads,3,1,Mandal,GRA did not speak to citizen directly,1,0.85
